node_1,node_2,edge,chunk_id,type,count
siddharth mehra (ranbir kapoor),"gifted, talented, super-qualified brainiac",identity and character trait,7e170d9f4714478693884d5256e057f1,,4
siddharth mehra (ranbir kapoor),lazy and uninterested in studies,contradictory characteristic,7e170d9f4714478693884d5256e057f1,,4
ram mehra (anupam kher),wealthy businessman in mumbai,occupation and location,7e170d9f4714478693884d5256e057f1,,4
sarita mehra (supriya pathak),housewife,occupation,7e170d9f4714478693884d5256e057f1,,4
ram mehra (anupam kher),siddharth mehra (ranbir kapoor)'s father,relationship,7e170d9f4714478693884d5256e057f1,,4
sarita mehra (supriya pathak),siddharth mehra (ranbir kapoor)'s mother,relationship,7e170d9f4714478693884d5256e057f1,,4
siddharth mehra (ranbir kapoor),classmates (including his friends),social group,7e170d9f4714478693884d5256e057f1,,4
siddharth mehru (ranbir kapoor),struggling throughout the entire duration of the exam,action and context,7e170d9f4714478693884d5256e057f1,,4
siddharth mehru (ranbir kapoor),nervously unsure of each question,action and context,7e170d9f4714478693884d5256e057f1,,4
siddharth mehru (ranbir kapoor),certain that he would fail his exams this semester and have to repeat the course the following year,belief,7e170d9f4714478693884d5256e057f1,,4
siddharth mehru (ranbir kapoor),"all of his classmates (including his friends) confidently progress through their test papers, having intensely studied long and hard in advance",contrast,7e170d9f4714478693884d5256e057f1,,4
siddharth mehru (ranbir kapoor),imagines some classmates insulting and demoralizing him while his friends give him words of encouragement,thought process,7e170d9f4714478693884d5256e057f1,,4
siddharth mehru (ranbir kapoor),hoping to answer enough questions,action and context,7e170d9f4714478693884d5256e057f1,,4
sid,passing exams,feels confident to finish his exams,d28132a0507c4bdcb0348caa158b9642,,4
sid,expensive branded goods,"goes shopping at a mall to purchase very expensive, branded goods with friends",d28132a0507c4bdcb0348caa158b9642,,4
sid's father,work in his company,offers to purchase Sid his favourite Porsche car if he agrees to work in his company for three months,d28132a0507c4bdcb0348caa158b9642,,4
sid,credit card,spends money on the credit card that his father gave him to cover his expenses and bills,d28132a0507c4bdcb0348caa158b9642,,4
sid,aisha banerjee,takes Aisha to a beach to enjoy the city view,d28132a0507c4bdcb0348caa158b9642,,4
aisha banerjee,mumbai beat,"is applying for a job at Mumbai Beat, which is Sid's subscription magazine",d28132a0507c4bdcb0348caa158b9642,,4
aisha banerjee,living alone in mumbai,terrified but pursuing her dream of becoming a writer for the world's largest media company in Mumbai,d28132a0507c4bdcb0348caa158b9642,,4
world's largest media company,dream,for the world's largest media company had been her dream since she was a child,76d1f2412fec42a58d27ab8f4ae8b0c3,,4
sid,father's company,Sid visits his father's company,76d1f2412fec42a58d27ab8f4ae8b0c3,,4
sid,job,Sid is assigned by his father to work like the other employees on the first day and carefully study hundreds of company files,76d1f2412fec42a58d27ab8f4ae8b0c3,,4
sid,formal attire,because he feels that formal attire is inappropriate for him,76d1f2412fec42a58d27ab8f4ae8b0c3,,4
sid,desire for a luxury car,Sid eventually quits his job and gives up his desire for a luxury car because he can no longer handle the office workload,76d1f2412fec42a58d27ab8f4ae8b0c3,,4
aisha,hostel,where she currently resides has too many mice,76d1f2412fec42a58d27ab8f4ae8b0c3,,4
aisha,sonia,a flirtatious woman named Sonia (Kashmira Shah),76d1f2412fec42a58d27ab8f4ae8b0c3,,4
aisha,rental house,that Sid accompanies Aisha to an in-house owned by a flirtatious woman named Sonia,76d1f2412fec42a58d27ab8f4ae8b0c3,,4
aisha,cleaning and redecorating,and is very interested in the city view from the top floor,76d1f2412fec42a58d27ab8f4ae8b0c3,,4
aisha,final job interview,"with Kabir Chaudhary (Rahul Khanna), the CEO of Mumbai Beat,",76d1f2412fec42a58d27ab8f4ae8b0c3,,4
sid,kabir chaudhary (rahul khanna),"Sid has a final job interview with Kabir Chaudhary, the CEO of Mumbai Beat.",42a4abcf8b9a498db54a6c33aae4b276,,4
mumbai beat,ceo,"Mumbai Beat is the company where Sid has a final job interview with the CEO, Kabir Chaudhary.",42a4abcf8b9a498db54a6c33aae4b276,,4
sid,graduation,Sid's graduation is delayed for at least another year due to failing his final exams while his classmates aced the exams with great-to-decent grades.,42a4abcf8b9a498db54a6c33aae4b276,,4
final exam results,sid,The final exam results come out a week later and Sid learns that he failed while his classmates aced the exams with great-to-decent grades.,42a4abcf8b9a498db54a6c33aae4b276,,4
sid,aisha's house,Sid arrives at Aisha's house and asks for permission to stay for a few days.,42a4abcf8b9a498db54a6c33aae4b276,,4
aisha's indebtedness,sid,Aisha feels indebted for everything he has done for her and decides to assist him and let him stay for a while.,42a4abcf8b9a498db54a6c33aae4b276,,4
aisha,work,Aisha wakes up early because it is her first day of work.,42a4abcf8b9a498db54a6c33aae4b276,,4
sid,money,"Sid wakes up during the day and begins searching the refrigerator for food but is unable to find instant food as there are only raw vegetables, despite the fact that he has no idea how to cook.",42a4abcf8b9a498db54a6c33aae4b276,,4
aisha,sid,"Upon learning that Sid does not have enough money to purchase food, Aisha cooks dinner for him.",42a4abcf8b9a498db54a6c33aae4b276,,4
sid,photography,"Sid resumes his hobby of photographing various events, activities, and scenery around the house with his old camera.",42a4abcf8b9a498db54a6c33aae4b276,,4
sonia,sid,Sid requests Sonia to teach him.,42a4abcf8b9a498db54a6c33aae4b276,,4
sid,photography,"Sid resumes his hobby of photographing various events, activities, and scenery around the house with his old camera.",c9e0eb5516174a2484ad26ae7c51d4cb,,4
sid,aisha,Sid requests Sonia to teach him how to fry eggs so that he can serve them to Aisha when she returns home from work.,c9e0eb5516174a2484ad26ae7c51d4cb,,4
aisha,stress,"Because of the stress she feels at work, a disgusted Aisha shouts at Sid for his inability to keep her house organized and storms out in anger, leaving Sid alone in the house.",c9e0eb5516174a2484ad26ae7c51d4cb,,4
sid,aisha,"When Aisha returns home from Sonia's house, she is surprised to find her house reorganized by Sid.",c9e0eb5516174a2484ad26ae7c51d4cb,,4
aisha,sid,"Aisha advises Sid to return home and work for his father's company, but Sid declines for wanting to work in a field that he is interested in and passionate about.",c9e0eb5516174a2484ad26ae7c51d4cb,,4
aisha,mumbai beat,"Aisha introduces Sid to Amit, a photographer director at Mumbai Beat, who is impressed by Sid's talent after seeing his photographs and decides to hire him as an intern in his division.",c9e0eb5516174a2484ad26ae7c51d4cb,,4
sid,work ethic,"Living with Aisha, Sid is motivated to change into a hardworking, responsible, and productive person.",c9e0eb5516174a2484ad26ae7c51d4cb,,4
sid,aisha,close relationship as roommates and friends,fa5611f3f9344383b2f7e0aff5d035a2,,4
sid,mother,memories of spending time with mother and apology for hurting her heart,fa5611f3f9344383b2f7e0aff5d035a2,,4
aisha,sid,helpfulness in household chores,fa5611f3f9344383b2f7e0aff5d035a2,,4
sid,mumbai beat,getting selected as an assistant photographer and receiving first salary,fa5611f3f9344383b2f7e0aff5d035a2,,4
aisha,sid,heartbreak and anger at Sid's departure,fa5611f3f9344383b2f7e0aff5d035a2,,4
mumbai beat,sid,inclusion of his work in the magazine,fa5611f3f9344383b2f7e0aff5d035a2,,4
aisha,kabir,approval of her article for the magazine,fa5611f3f9344383b2f7e0aff5d035a2,,4
sid,father,"apology for leaving the house and rejecting job offer, and pride in his son's success",fa5611f3f9344383b2f7e0aff5d035a2,,4
sid,forgotten shirt,accidentally brought Aisha's shirt with him,fa5611f3f9344383b2f7e0aff5d035a2,,4
sid,aisha,"roommate and friend, Sid notices Aisha's loneliness after his departure from their shared space.",4d02a4f0d4b341cb8ac3af98b8418a54,physical relation,4
sid,mumbai beat,"Sid discovers an article written by Aisha in the latest issue of Mumbai Beat, revealing his love for her.",4d02a4f0d4b341cb8ac3af98b8418a54,interaction,4
aisha,mumbai beat,"Aisha writes an article about her life experience in Mumbai and her meeting with Sid, revealing her love for him.",4d02a4f0d4b341cb8ac3af98b8418a54,interaction,4
sid,beach,"favourite spot of Sid and Aisha, Sid hurriedly drives to the beach in the rainy weather because he is certain that Aisha is there.",4d02a4f0d4b341cb8ac3af98b8418a54,geographical relation,4
aisha,love,"feeling of affection towards Sid, revealed at the end of Aisha's article in Mumbai Beat.",4d02a4f0d4b341cb8ac3af98b8418a54,emotion,4
