node_1,node_2,edge,chunk_id,edge_type,count
josh brolin,jonah hex,"In October 2008, Josh Brolin entered talks to be cast as Jonah Hex under the direction of Neveldine and Taylor.",ca86a8cdfe574d3eb19f2a5c19299722,,4
jonah hex,warner bros.,"In July 2007, Warner Bros. Held the film rights to the character.",ca86a8cdfe574d3eb19f2a5c19299722,,4
andrew lazar,producers,"Goldsman paired with Andrew Lazar as producers,",ca86a8cdfe574d3eb19f2a5c19299722,,4
akiva goldsman,producers,"Goldsman paired with Akiva Goldsman and Robert Zappia involved, but the project never came to fruition,",ca86a8cdfe574d3eb19f2a5c19299722,,4
robert zappia,producers,"Goldsman paired with Akiva Goldsman and Robert Zappia involved, but the project never came to fruition,",ca86a8cdfe574d3eb19f2a5c19299722,,4
jimmy hayward,director,"By the following February, Brolin was set to star alongside John Malkovich, who was cast as the antagonist Quentin Turnbull. Filming began in Louisiana in April 2009 under the direction of Jimmy Hayward.",ca86a8cdfe574d3eb19f2a5c19299722,,4
francis lawrence,supervisor,Director Francis Lawrence was brought in to supervise a number of reshoots.,ca86a8cdfe574d3eb19f2a5c19299722,,4
jonah hex,brolin (actor),"Brolin (actor) hated the experience making the film 'Jonah Hex' and implied that the filming schedule was hectic, stating that they had to reshoot 66 pages in 12 days.",4b6caf3239b8422394968bb3bc13798e,,4
hayward,brolin (actor),"Brolin (actor) blamed the failure of 'Jonah Hex' on studio interference in the film's post-production and called Hayward 'inexperienced' and a 'bad choice (of director)', but didn't necessarily blame it all at him because it was his bad choice.",4b6caf3239b8422394968bb3bc13798e,,4
megan fox,jonah hex,Megan Fox was critical of the movie 'Jonah Hex' and said she doesn't even want her kids to see it.,4b6caf3239b8422394968bb3bc13798e,,4
mastodon,jonah hex: revenge gets ugly ep,Heavy metal band Mastodon scored the film 'Jonah Hex'.,4b6caf3239b8422394968bb3bc13798e,,4
dead man,neil young's dead man,"Swirling, nausea music",812b62f8e9ec4b1fb89071c7070bd449,,4
score of a movie,albums,"Since day one, we've always written albums thinking the music was the score of a movie.",812b62f8e9ec4b1fb89071c7070bd449,,4
dialog,lyrics or storyline,as if we're writing the dialog to match the movie's cinematography,812b62f8e9ec4b1fb89071c7070bd449,,4
variations on themes,"different variables for a bunch of riffs: faster, slower, heavier, lighter",It's the Darth Vader approach,812b62f8e9ec4b1fb89071c7070bd449,,4
themes,characters,"different variables for a bunch of riffs: faster, slower, heavier, lighter. It's the Darth Vader approach",812b62f8e9ec4b1fb89071c7070bd449,for each character,4
